,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1895-05-19T23:58:21,1895-05-19 23:58:21,,,,
1,ses-func02,1895-05-20T23:57:55,1895-05-20 23:57:55,0 days 23:59:34,,,23.99277777777778
2,ses-func03,1895-05-22T23:59:56,1895-05-22 23:59:56,2 days 00:02:01,,,48.033611111111114
3,ses-func04,1895-05-23T23:58:11,1895-05-23 23:58:11,0 days 23:58:15,,,23.970833333333335
4,ses-func05,1895-05-25T00:01:28,1895-05-25 00:01:28,1 days 00:03:17,,,24.05472222222222
5,ses-func06,1895-05-26T00:03:11,1895-05-26 00:03:11,1 days 00:01:43,,,24.02861111111111
6,ses-func07,1895-05-27T23:59:04,1895-05-27 23:59:04,1 days 23:55:53,,,47.93138888888889
7,ses-func08,1895-05-29T23:59:01,1895-05-29 23:59:01,1 days 23:59:57,,,47.99916666666667
8,ses-func09,1895-06-02T00:02:04,1895-06-02 00:02:04,3 days 00:03:03,,,72.05083333333333
9,ses-func10,1895-06-02T23:58:31,1895-06-02 23:58:31,0 days 23:56:27,,,23.940833333333334
