,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1895-03-23T00:17:22,1895-03-23 00:17:22,,,,
1,ses-func02,1895-03-30T00:21:16,1895-03-30 00:21:16,7 days 00:03:54,,,168.065
2,ses-func03,1895-04-01T00:51:37,1895-04-01 00:51:37,2 days 00:30:21,,,48.505833333333335
3,ses-func04,1895-04-02T00:24:21,1895-04-02 00:24:21,0 days 23:32:44,,,23.545555555555556
4,ses-func05,1895-04-13T00:20:50,1895-04-13 00:20:50,10 days 23:56:29,,,263.94138888888887
5,ses-func06,1895-04-16T00:15:15,1895-04-16 00:15:15,2 days 23:54:25,,,71.90694444444445
6,ses-func07,1895-04-19T00:19:31,1895-04-19 00:19:31,3 days 00:04:16,,,72.07111111111111
7,ses-func08,1895-04-22T00:16:03,1895-04-22 00:16:03,2 days 23:56:32,,,71.94222222222223
8,ses-func09,1895-04-26T00:10:28,1895-04-26 00:10:28,3 days 23:54:25,,,95.90694444444445
9,ses-func10,1895-04-30T00:16:12,1895-04-30 00:16:12,4 days 00:05:44,,,96.09555555555555
