,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1894-12-25T01:21:55,1894-12-25 01:21:55,,,,
1,ses-func02,1894-12-26T00:16:21,1894-12-26 00:16:21,0 days 22:54:26,,,22.907222222222224
2,ses-func03,1894-12-28T00:19:59,1894-12-28 00:19:59,2 days 00:03:38,,,48.06055555555555
3,ses-func04,1894-12-30T00:29:42,1894-12-30 00:29:42,2 days 00:09:43,,,48.161944444444444
4,ses-func05,1894-12-31T00:23:12,1894-12-31 00:23:12,0 days 23:53:30,,,23.891666666666666
5,ses-func06,1895-01-01T00:30:09,1895-01-01 00:30:09,1 days 00:06:57,,,24.115833333333335
6,ses-func07,1895-01-02T00:22:36,1895-01-02 00:22:36,0 days 23:52:27,,,23.874166666666667
7,ses-func08,1895-01-05T00:23:13,1895-01-05 00:23:13,3 days 00:00:37,,,72.01027777777777
8,ses-func09,1895-01-06T00:21:11,1895-01-06 00:21:11,0 days 23:57:58,,,23.96611111111111
9,ses-func10,1895-01-07T01:54:15,1895-01-07 01:54:15,1 days 01:33:04,,,25.551111111111112
