,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1894-10-04T00:11:26,1894-10-04 00:11:26,,,,
1,ses-func02,1894-10-05T00:12:49,1894-10-05 00:12:49,1 days 00:01:23,,,24.023055555555555
2,ses-func03,1894-10-06T00:08:13,1894-10-06 00:08:13,0 days 23:55:24,,,23.923333333333332
3,ses-func04,1894-10-07T00:11:44,1894-10-07 00:11:44,1 days 00:03:31,,,24.058611111111112
4,ses-func05,1894-10-08T00:07:58,1894-10-08 00:07:58,0 days 23:56:14,,,23.93722222222222
5,ses-func06,1894-10-09T00:09:40,1894-10-09 00:09:40,1 days 00:01:42,,,24.028333333333332
6,ses-func07,1894-10-12T00:11:44,1894-10-12 00:11:44,3 days 00:02:04,,,72.03444444444445
7,ses-func08,1894-10-13T00:10:59,1894-10-13 00:10:59,0 days 23:59:15,,,23.9875
8,ses-func09,1894-10-14T00:09:25,1894-10-14 00:09:25,0 days 23:58:26,,,23.97388888888889
9,ses-func10,1894-10-15T00:05:45,1894-10-15 00:05:45,0 days 23:56:20,,,23.93888888888889
