,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1894-07-07T00:15:33,1894-07-07 00:15:33,,,,
1,ses-func02,1894-07-08T00:13:47,1894-07-08 00:13:47,0 days 23:58:14,,,23.970555555555556
2,ses-func03,1894-07-09T00:22:47,1894-07-09 00:22:47,1 days 00:09:00,,,24.15
3,ses-func04,1894-07-10T00:15:17,1894-07-10 00:15:17,0 days 23:52:30,,,23.875
4,ses-func05,1894-07-11T00:18:38,1894-07-11 00:18:38,1 days 00:03:21,,,24.055833333333332
5,ses-func06,1894-07-12T00:14:56,1894-07-12 00:14:56,0 days 23:56:18,,,23.938333333333333
6,ses-func07,1894-07-13T00:14:35,1894-07-13 00:14:35,0 days 23:59:39,,,23.99416666666667
7,ses-func08,1894-07-14T00:15:44,1894-07-14 00:15:44,1 days 00:01:09,,,24.019166666666667
8,ses-func09,1894-07-15T00:16:46,1894-07-15 00:16:46,1 days 00:01:02,,,24.017222222222223
9,ses-func10,1894-07-16T00:14:40,1894-07-16 00:14:40,0 days 23:57:54,,,23.965
10,ses-func11,1894-07-16T01:32:32,1894-07-16 01:32:32,0 days 01:17:52,0.9190223900515674,,1.2977777777777777
