,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1894-11-08T00:11:34,1894-11-08 00:11:34,,,,
1,ses-func02,1894-11-10T00:12:51,1894-11-10 00:12:51,2 days 00:01:17,,,48.021388888888886
2,ses-func03,1894-11-11T00:14:24,1894-11-11 00:14:24,1 days 00:01:33,,,24.025833333333335
3,ses-func04,1894-11-12T00:59:09,1894-11-12 00:59:09,1 days 00:44:45,,,24.745833333333334
4,ses-func05,1894-11-16T00:10:12,1894-11-16 00:10:12,3 days 23:11:03,,,95.18416666666667
5,ses-func06,1894-11-17T00:09:56,1894-11-17 00:09:56,0 days 23:59:44,,,23.995555555555555
6,ses-func07,1894-11-19T00:34:47,1894-11-19 00:34:47,2 days 00:24:51,,,48.41416666666667
7,ses-func08,1894-11-20T00:09:09,1894-11-20 00:09:09,0 days 23:34:22,,,23.572777777777777
8,ses-func09,1894-11-21T00:13:28,1894-11-21 00:13:28,1 days 00:04:19,,,24.071944444444444
9,ses-func10,1894-11-22T00:13:01,1894-11-22 00:13:01,0 days 23:59:33,,,23.9925
