,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1894-08-25T01:07:51,1894-08-25 01:07:51,,0.9663144678502543,,
1,ses-func02,1894-08-26T00:09:21,1894-08-26 00:09:21,0 days 23:01:30,0.9907080551234675,0.02439358727321317,23.025
2,ses-func03,1894-08-27T00:17:24,1894-08-27 00:17:24,1 days 00:08:03,0.7997477432777199,-0.19096031184574758,24.134166666666665
3,ses-func04,1894-08-28T00:14:11,1894-08-28 00:14:11,0 days 23:56:47,0.8747334220802375,0.07498567880251761,23.94638888888889
4,ses-func05,1894-08-29T00:08:33,1894-08-29 00:08:33,0 days 23:54:22,1.0,0.12526657791976248,23.906111111111112
5,ses-func06,1894-08-30T00:12:32,1894-08-30 00:12:32,1 days 00:03:59,0.8450689736508163,-0.15493102634918365,24.066388888888888
6,ses-func07,1894-08-31T00:08:55,1894-08-31 00:08:55,0 days 23:56:23,0.8619927990021535,0.016923825351337185,23.939722222222223
7,ses-func08,1894-09-08T00:18:53,1894-09-08 00:18:53,8 days 00:09:58,0.9258685268190072,0.06387572781685369,192.16611111111112
8,ses-func09,1894-09-09T00:15:21,1894-09-09 00:15:21,0 days 23:56:28,0.9426608250735995,0.016792298254592275,23.941111111111113
9,ses-func10,1894-09-10T00:18:59,1894-09-10 00:18:59,1 days 00:03:38,0.7828966721613386,-0.15976415291226087,24.060555555555556
