,scan_time,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,target,indoor,outdoor,sess,subj,run
363,0.0,6.499956e-05,0.0,-1.7819435e-05,0.0,0.0,3.6742145e-05,-1.690558e-05,-6.0509847e-05,0.0,9.893228e-06,-9.011946e-06,-8.120593e-06,2.4036353e-05,1.6618693e-05,9.598208e-06,-2.8077728e-05,3.3430875e-05,0.0,0.0,1.9585517e-05,0.0,8.8904435e-06,0.0,-3.8870665e-05,9.143471e-06,-1.6940188e-05,-8.58086e-06,0.0,1.812497e-05,-7.984034e-06,0.0,1.5755093e-05,2.0640604e-05,0.0,-8.346617e-06,1.5968038e-05,0.0,-9.623717e-05,0.0,-1.827396e-05,0.0,-7.957477e-06,9.806182e-06,1.9354626e-05,0.0,2.0981219e-05,0.0,0.0,5.8576847e-05,0.0,-2.9821516e-05,-9.781043e-06,-9.597766e-06,1.0209143e-05,-9.436248e-06,-2.5948115e-05,-2.4827643e-05,1.6034499e-05,9.761182e-06,9.832946e-06,9.108835e-06,0.0,1.6627215e-05,0.0,0.0,-1.01864625e-05,9.838885e-06,-9.576423e-06,-0.000104681996,0.0,0.0,-2.0102787e-05,-3.212219e-05,-1.0337064e-05,1.852812e-05,-1.7934657e-05,1.8731811e-05,2.0756053e-05,3.1827487e-05,2.1613952e-05,1.0089244e-05,-9.931897e-06,-9.52027e-06,-8.9779705e-06,-9.736287e-06,-9.34226e-06,-2.6858474e-05,-1.686762e-05,0.0,9.0701315e-06,-1.9359202e-05,0.0,9.322953e-06,-9.543647e-06,-1.7878872e-05,0.0,0.0,-9.417481e-06,0.0,-8.394447e-06,0.0,0.0,0.0,1.0505978e-05,9.6863105e-06,4.8541573e-05,0.0,-9.914952e-06,9.726136e-06,0.0,0.0,9.459139e-06,1.8161358e-05,-9.35696e-06,4.603321e-05,0.0,1.7204864e-05,-1.769462e-05,1.715293e-05,8.219806e-06,0.0,0.0,0.0,4,1,4
364,2.2,6.499956e-05,0.0,-1.7819435e-05,0.0,0.0,3.6742145e-05,-1.690558e-05,-6.0509847e-05,9.229764e-06,9.893228e-06,-9.011946e-06,-1.6241185e-05,2.4036353e-05,1.6618693e-05,9.598208e-06,-2.8077728e-05,2.5073157e-05,-7.718491e-06,0.0,1.9585517e-05,0.0,8.8904435e-06,0.0,-3.8870665e-05,9.143471e-06,-8.470094e-06,-8.58086e-06,0.0,1.812497e-05,-7.984034e-06,0.0,1.5755093e-05,2.0640604e-05,9.041213e-06,-8.346617e-06,1.5968038e-05,0.0,-9.623717e-05,0.0,-1.827396e-05,0.0,-7.957477e-06,1.9612364e-05,1.9354626e-05,0.0,2.0981219e-05,0.0,0.0,5.8576847e-05,0.0,-2.9821516e-05,-9.781043e-06,-9.597766e-06,1.0209143e-05,-9.436248e-06,-2.5948115e-05,-2.4827643e-05,1.6034499e-05,9.761182e-06,9.832946e-06,1.821767e-05,0.0,1.6627215e-05,-7.743078e-06,0.0,-1.01864625e-05,9.838885e-06,-9.576423e-06,-0.000104681996,0.0,0.0,-2.0102787e-05,-3.212219e-05,-1.0337064e-05,9.26406e-06,-1.7934657e-05,1.8731811e-05,2.0756053e-05,3.1827487e-05,2.1613952e-05,0.0,-9.931897e-06,-9.52027e-06,-8.9779705e-06,-9.736287e-06,-9.34226e-06,-2.6858474e-05,-1.686762e-05,0.0,9.0701315e-06,-1.9359202e-05,0.0,9.322953e-06,-9.543647e-06,-1.7878872e-05,0.0,0.0,-9.417481e-06,-1.0132023e-05,-8.394447e-06,-8.126687e-06,0.0,0.0,1.0505978e-05,9.6863105e-06,4.8541573e-05,0.0,-9.914952e-06,9.726136e-06,0.0,0.0,9.459139e-06,1.8161358e-05,-9.35696e-06,4.603321e-05,0.0,8.602432e-06,-2.654193e-05,1.715293e-05,8.219806e-06,0.0,0.0,0.0,4,1,4
365,4.4,6.499956e-05,0.0,-1.7819435e-05,-9.130756e-06,-9.802176e-06,3.6742145e-05,-1.690558e-05,-6.0509847e-05,0.0,9.893228e-06,-9.011946e-06,-8.120593e-06,2.4036353e-05,2.4928038e-05,9.598208e-06,-2.8077728e-05,3.3430875e-05,0.0,7.659879e-06,2.9378276e-05,0.0,1.7780887e-05,0.0,-3.8870665e-05,9.143471e-06,-1.6940188e-05,0.0,-1.0255012e-05,2.7187454e-05,-7.984034e-06,7.502426e-06,2.3632638e-05,2.0640604e-05,0.0,0.0,2.3952058e-05,7.870109e-06,-9.623717e-05,-9.463693e-06,-1.827396e-05,8.6015925e-06,0.0,9.806182e-06,1.9354626e-05,0.0,2.0981219e-05,0.0,0.0,5.8576847e-05,0.0,-2.9821516e-05,-1.9562087e-05,0.0,1.0209143e-05,-9.436248e-06,-1.7298742e-05,-1.6551761e-05,2.4051747e-05,9.761182e-06,9.832946e-06,9.108835e-06,0.0,1.6627215e-05,0.0,9.699396e-06,-1.01864625e-05,0.0,-1.9152845e-05,-0.000104681996,9.387302e-06,9.3969165e-06,-2.0102787e-05,-3.212219e-05,-1.0337064e-05,1.852812e-05,-1.7934657e-05,1.8731811e-05,2.0756053e-05,3.1827487e-05,3.242093e-05,1.0089244e-05,-9.931897e-06,-9.52027e-06,-8.9779705e-06,-9.736287e-06,0.0,-2.6858474e-05,-1.686762e-05,0.0,9.0701315e-06,-1.9359202e-05,-9.522277e-06,9.322953e-06,-9.543647e-06,-8.939436e-06,0.0,8.916448e-06,0.0,0.0,8.394447e-06,0.0,8.684106e-06,0.0,0.0,9.6863105e-06,4.8541573e-05,1.0388256e-05,-9.914952e-06,9.726136e-06,8.73481e-06,0.0,9.459139e-06,1.8161358e-05,-9.35696e-06,4.603321e-05,0.0,1.7204864e-05,-1.769462e-05,1.715293e-05,1.6439611e-05,0.0,0.0,0.0,4,1,4
366,6.6,6.499956e-05,-9.549263e-06,-1.7819435e-05,9.130756e-06,9.802176e-06,2.7556607e-05,-2.535837e-05,-6.0509847e-05,9.229764e-06,1.9786456e-05,0.0,-2.436178e-05,8.012118e-06,0.0,9.598208e-06,-2.8077728e-05,1.6715438e-05,-1.5436983e-05,-1.5319758e-05,9.792759e-06,-9.200345e-06,8.8904435e-06,0.0,-3.8870665e-05,9.143471e-06,-8.470094e-06,-2.574258e-05,1.0255012e-05,1.812497e-05,-2.3952103e-05,-7.502426e-06,-7.8775465e-06,2.0640604e-05,9.041213e-06,-1.6693233e-05,0.0,-1.5740217e-05,-9.623717e-05,9.463693e-06,-1.827396e-05,-8.6015925e-06,-7.957477e-06,1.9612364e-05,0.0,0.0,2.0981219e-05,0.0,-1.063051e-05,5.8576847e-05,9.9064255e-06,-2.9821516e-05,-9.781043e-06,-1.9195531e-05,2.0418285e-05,-1.8872495e-05,-3.4597484e-05,-3.3103523e-05,0.0,0.0,9.832946e-06,1.821767e-05,0.0,8.313607e-06,-1.5486155e-05,-9.699396e-06,0.0,1.967777e-05,-9.576423e-06,-0.000104681996,-9.387302e-06,-9.3969165e-06,-2.0102787e-05,-3.212219e-05,-1.0337064e-05,0.0,-3.5869314e-05,1.8731811e-05,2.0756053e-05,3.1827487e-05,0.0,0.0,-9.931897e-06,-9.52027e-06,-1.7955941e-05,-2.920886e-05,-9.34226e-06,-2.6858474e-05,-1.686762e-05,-8.250093e-06,0.0,-9.679601e-06,9.522277e-06,9.322953e-06,0.0,-1.7878872e-05,-1.7470546e-05,-8.916448e-06,-1.8834962e-05,-2.0264046e-05,-3.3577788e-05,-2.438006e-05,-8.684106e-06,0.0,2.1011956e-05,1.9372621e-05,4.8541573e-05,0.0,0.0,0.0,-8.73481e-06,0.0,1.8918277e-05,9.080679e-06,-1.871392e-05,4.603321e-05,-9.1257525e-06,8.602432e-06,-3.538924e-05,8.576465e-06,0.0,0.0,0.0,0.0,4,1,4
367,8.8,6.499956e-05,9.549263e-06,-2.6729154e-05,-1.8261511e-05,-1.9604351e-05,4.592768e-05,-8.45279e-06,-6.0509847e-05,0.0,0.0,-9.011946e-06,8.120593e-06,4.8072707e-05,6.647477e-05,0.0,-3.743697e-05,5.0146315e-05,2.3155473e-05,3.0639516e-05,3.9171035e-05,1.840069e-05,1.7780887e-05,0.0,-3.8870665e-05,1.8286943e-05,-2.5410282e-05,3.432344e-05,-2.0510024e-05,2.7187454e-05,1.5968068e-05,3.0009704e-05,7.089792e-05,1.0320302e-05,0.0,1.6693233e-05,5.5888137e-05,3.9350543e-05,-9.623717e-05,-1.8927385e-05,-9.13698e-06,2.5804778e-05,0.0,0.0,3.870925e-05,0.0,1.0490609e-05,-9.554301e-06,2.126102e-05,5.8576847e-05,-9.9064255e-06,-2.9821516e-05,-1.9562087e-05,1.9195531e-05,1.0209143e-05,9.436248e-06,8.649371e-06,0.0,5.6120745e-05,1.9522364e-05,1.9665891e-05,9.108835e-06,-8.718207e-06,1.6627215e-05,2.3229233e-05,2.9098188e-05,-2.0372925e-05,-1.967777e-05,-1.9152845e-05,-0.0001134055,1.8774605e-05,1.8793833e-05,-3.015418e-05,-2.1414791e-05,-1.0337064e-05,5.5584358e-05,8.9673285e-06,9.3659055e-06,3.113408e-05,3.1827487e-05,6.484186e-05,2.0178488e-05,-1.9863794e-05,0.0,0.0,1.9472574e-05,9.34226e-06,-2.6858474e-05,-8.43381e-06,1.6500186e-05,1.8140263e-05,-1.9359202e-05,-2.856683e-05,1.8645906e-05,-1.9087294e-05,0.0,2.620582e-05,1.7832896e-05,1.8834962e-05,2.0264046e-05,5.036668e-05,3.250675e-05,3.4736426e-05,1.019623e-05,-2.1011956e-05,0.0,4.8541573e-05,2.0776512e-05,-1.9829904e-05,1.9452273e-05,2.620443e-05,9.246041e-06,-9.459139e-06,2.7242035e-05,9.35696e-06,4.603321e-05,1.8251505e-05,2.5807298e-05,8.84731e-06,2.5729394e-05,3.2879223e-05,0.0,0.0,0.0,4,1,4
368,11.0,6.499956e-05,-1.9098527e-05,-8.9097175e-06,2.7392267e-05,2.9406527e-05,1.8371073e-05,-4.226395e-05,-6.0509847e-05,1.8459528e-05,3.957291e-05,0.0,-4.872356e-05,-2.4036353e-05,-6.647477e-05,2.8794622e-05,-1.8718485e-05,-8.357719e-06,-5.4029435e-05,-5.361915e-05,-9.792759e-06,-3.680138e-05,0.0,0.0,-3.8870665e-05,0.0,0.0,-8.58086e-05,3.0765037e-05,0.0,-6.387227e-05,-4.5014556e-05,-7.089792e-05,3.0960906e-05,9.041213e-06,-5.00797e-05,-5.5888137e-05,-7.0830974e-05,-9.623717e-05,2.8391076e-05,-2.7410939e-05,-3.440637e-05,-1.5914953e-05,4.903091e-05,-2.9031939e-05,-1.02157e-05,4.1962438e-05,1.9108602e-05,-4.252204e-05,5.8576847e-05,1.9812851e-05,-2.9821516e-05,0.0,-5.758659e-05,3.0627427e-05,-4.718124e-05,-6.919497e-05,-6.6207045e-05,-5.6120745e-05,-1.9522364e-05,-9.832946e-06,1.821767e-05,8.718207e-06,0.0,-5.4201548e-05,-3.8797585e-05,1.01864625e-05,4.919442e-05,0.0,-0.000104681996,-2.8161909e-05,-2.8190749e-05,-2.0102787e-05,-3.212219e-05,-1.0337064e-05,-5.5584358e-05,-7.173863e-05,2.8097716e-05,1.0378027e-05,3.1827487e-05,-4.3227905e-05,-3.0267733e-05,0.0,-1.904054e-05,-3.5911882e-05,-7.78903e-05,-3.736904e-05,-3.5811296e-05,-3.373524e-05,-3.300037e-05,-9.0701315e-06,-9.679601e-06,4.7611386e-05,0.0,1.9087294e-05,-3.5757745e-05,-5.241164e-05,-2.6749341e-05,-4.7087404e-05,-6.0792132e-05,-0.00010912781,-7.3140174e-05,-5.210464e-05,-1.019623e-05,5.2529886e-05,3.8745242e-05,5.824989e-05,-2.0776512e-05,1.9829904e-05,-1.9452273e-05,-3.493924e-05,-9.246041e-06,3.7836555e-05,-9.080679e-06,-3.742784e-05,4.603321e-05,-3.650301e-05,-8.602432e-06,-7.962579e-05,0.0,-3.2879223e-05,0.0325814016597198,0.0325814016597198,0.0,4,1,4
369,13.2,6.499956e-05,1.9098527e-05,-3.563887e-05,-5.4784534e-05,-5.8813053e-05,6.429875e-05,1.690558e-05,-6.0509847e-05,-9.229764e-06,-2.9679682e-05,-1.8023891e-05,5.6844146e-05,0.00010415754,0.00015787758,-1.9196415e-05,-4.6796213e-05,9.193491e-05,8.4903404e-05,9.191854e-05,7.834207e-05,5.5202072e-05,3.5561774e-05,9.969451e-06,-3.8870665e-05,2.7430415e-05,-4.235047e-05,0.0001287129,-5.127506e-05,4.5312423e-05,7.18563e-05,8.252668e-05,0.00016542847,0.0,-9.041213e-06,5.842632e-05,0.00014371236,0.00011018152,-9.623717e-05,-5.678215e-05,0.0,6.0211147e-05,1.5914953e-05,-3.9224728e-05,9.6773125e-05,0.0,0.0,-2.8662902e-05,6.378306e-05,5.8576847e-05,-3.9625702e-05,-3.976202e-05,-3.9124174e-05,6.718436e-05,-1.0209143e-05,5.6617482e-05,6.0545597e-05,4.9655286e-05,0.00013629324,4.880591e-05,3.9331782e-05,0.0,-8.718207e-06,3.325443e-05,7.743078e-05,6.789577e-05,-5.0932318e-05,-5.9033307e-05,-2.8729266e-05,-0.0001134055,5.6323817e-05,5.6381497e-05,-3.015418e-05,-2.1414791e-05,-1.0337064e-05,0.00012969684,7.173863e-05,9.3659055e-06,5.1890136e-05,3.1827487e-05,0.0001404907,6.0535465e-05,-2.9795692e-05,9.52027e-06,2.6933909e-05,8.762658e-05,4.6711302e-05,-1.7905648e-05,8.43381e-06,4.9500555e-05,3.6280526e-05,-1.9359202e-05,-8.570049e-05,2.7968861e-05,-4.7718233e-05,2.6818307e-05,8.735273e-05,4.4582237e-05,6.5922366e-05,8.105618e-05,0.00015949449,0.00011377362,9.5525174e-05,3.058869e-05,-6.303586e-05,-3.8745242e-05,4.8541573e-05,4.1553023e-05,-5.9489714e-05,4.863068e-05,6.114367e-05,1.8492083e-05,-3.7836555e-05,5.448407e-05,4.67848e-05,5.523985e-05,5.475452e-05,5.1614596e-05,7.077848e-05,4.2882322e-05,7.397825e-05,0.4945422607018759,0.4945422607018759,0.0,4,1,4
370,15.4,6.499956e-05,-4.7746318e-05,0.0,8.2176804e-05,7.8417404e-05,-9.185536e-06,-7.6075106e-05,-6.0509847e-05,2.7689293e-05,6.9252594e-05,1.8023891e-05,-0.00011368829,-9.614541e-05,-0.0001994243,4.799104e-05,0.0,-6.686175e-05,-0.00013893284,-0.00014553769,-5.8756552e-05,-9.200345e-05,-2.667133e-05,0.0,-3.8870665e-05,-9.143471e-06,3.3880377e-05,-0.0002145215,7.1785085e-05,-1.812497e-05,-0.0001437126,-0.000120038814,-0.00021269375,5.1601513e-05,2.7123639e-05,-0.00010850603,-0.00017564843,-0.0001731424,-0.00010586088,8.517323e-05,-4.56849e-05,-8.601593e-05,-3.9787385e-05,9.806182e-05,-0.00010645045,-1.02157e-05,6.2943654e-05,4.7771504e-05,-0.000106305095,5.8576847e-05,5.9438553e-05,-1.988101e-05,1.9562087e-05,-0.00012477096,5.1045714e-05,-0.000113234964,-0.00014703932,-0.00014068997,-0.00016836224,-5.8567093e-05,-2.9498835e-05,3.643534e-05,1.7436414e-05,-1.6627215e-05,-0.00013163233,-9.699396e-05,4.074585e-05,0.00010822773,9.576423e-06,-0.000104681996,-7.509842e-05,-8.4572246e-05,-1.00513935e-05,-4.2829583e-05,-1.0337064e-05,-0.00015748902,-0.00016141191,3.7463622e-05,-2.0756053e-05,2.1218326e-05,-0.00015129767,-8.071395e-05,1.9863794e-05,-3.808108e-05,-7.1823764e-05,-0.00017525315,-8.408034e-05,-4.476412e-05,-5.9036665e-05,-7.4250835e-05,-3.6280526e-05,-9.679601e-06,0.00012378959,-2.7968861e-05,4.7718233e-05,-8.045493e-05,-0.00013976436,-6.241513e-05,-0.000113009766,-0.0001418483,-0.00026022785,-0.00018691379,-0.0001476298,-4.078492e-05,0.00011556575,8.71768e-05,5.824989e-05,-5.1941275e-05,5.9489714e-05,-5.8356818e-05,-8.73481e-05,-2.7738122e-05,8.5132255e-05,-3.6322715e-05,-9.35696e-05,3.6826565e-05,-0.00010038328,-4.301216e-05,-0.00015925158,-2.5729394e-05,-9.041786e-05,1.1432388554365094,1.1757986590984035,0.0325598036618942,4,1,4
371,17.6,6.499956e-05,5.729558e-05,-5.345831e-05,-0.00012783059,-0.00011762611,0.000101040896,6.762232e-05,-6.915411e-05,-3.6919057e-05,-7.914582e-05,-3.6047782e-05,0.00013805008,0.00020030295,0.0003406832,-5.7589245e-05,-6.55147e-05,0.0001755121,0.00019296228,0.0002144766,0.00014689138,0.00012880482,7.112355e-05,9.969451e-06,-3.8870665e-05,3.6573885e-05,-7.623085e-05,0.00029174922,-0.00011280514,8.1562364e-05,0.00018363277,0.00018005822,0.0003544896,-2.0640604e-05,-2.7123639e-05,0.00014189248,0.0002954087,0.00025184348,-8.661345e-05,-0.0001324917,1.827396e-05,0.00013762548,4.7744863e-05,-9.806182e-05,0.00019354625,0.0,-3.1471827e-05,-6.68801e-05,0.00014882714,5.8576847e-05,-7.9251404e-05,-4.970253e-05,-6.846731e-05,0.00015356425,-3.0627427e-05,0.00014154371,0.00016433805,0.00014068997,0.00028862097,9.761182e-05,7.8663565e-05,-1.821767e-05,-2.6154623e-05,5.819525e-05,0.00017809079,0.00015519034,-9.167817e-05,-0.00014758327,-4.788211e-05,-0.0001134055,0.000112647635,0.00013155682,-4.0205574e-05,-1.0707396e-05,-1.0337064e-05,0.00026865775,0.0001883139,-9.3659055e-06,9.340224e-05,3.1827487e-05,0.0002809814,0.00013116018,-5.9591384e-05,3.808108e-05,8.080173e-05,0.0002141983,0.00010276486,0.0,5.060286e-05,0.0001155013,7.256105e-05,-1.9359202e-05,-0.00019044554,5.5937722e-05,-9.5436466e-05,8.045493e-05,0.000192176,9.808092e-05,0.0001506797,0.00019250842,0.00036935566,0.000260054,0.00021710266,6.117738e-05,-0.00015758966,-9.686311e-05,3.883326e-05,8.3106046e-05,-0.00010906448,0.0001069875,0.00013102214,4.6230205e-05,-0.00010405052,9.988746e-05,0.000112283524,6.4446496e-05,0.0001368863,0.00010322919,0.0001857935,6.861172e-05,0.0001561763,0.5867334200114918,1.0486268981505813,0.4618934781390895,4,1,4
372,19.8,7.428521e-05,-8.594337e-05,2.6729154e-05,0.00016435361,0.00015683481,-5.5113214e-05,-0.00013524464,-5.1865583e-05,5.5378587e-05,0.00013850519,3.6047782e-05,-0.000219256,-0.00022433931,-0.00042377666,9.598208e-05,1.8718485e-05,-0.0001755121,-0.0002701472,-0.00029107538,-0.00014689138,-0.00017480656,-7.112355e-05,0.0,-3.8870665e-05,-3.6573885e-05,7.623085e-05,-0.000429043,0.00014357017,-6.34374e-05,-0.00027145716,-0.00024007763,-0.00044902012,8.2562416e-05,4.5206063e-05,-0.00021701206,-0.00036726487,-0.0003541549,-0.00010586088,0.00017034647,-6.395886e-05,-0.00018923504,-7.957477e-05,0.00017651127,-0.00023225551,-1.02157e-05,0.00010490609,9.554301e-05,-0.00020197968,5.8576847e-05,0.000118877106,0.0,5.868626e-05,-0.00023994414,8.167314e-05,-0.0002170337,-0.00027677987,-0.0002565523,-0.00035275894,-0.00012689536,-7.8663565e-05,5.465301e-05,3.4872828e-05,-4.1568033e-05,-0.00025552156,-0.00020368732,0.000101864636,0.00021645546,3.830569e-05,-0.000104681996,-0.00015958415,-0.00016914449,0.0,-5.353698e-05,-1.0337064e-05,-0.00033350615,-0.00030488917,5.6195433e-05,-6.226816e-05,2.1218326e-05,-0.00033501626,-0.00017151717,4.9659484e-05,-6.6641885e-05,-0.00013466955,-0.00033103375,-0.00015881842,-6.2669766e-05,-0.00010963953,-0.00015675176,-9.070131e-05,0.0,0.00025710146,-5.5937722e-05,0.000114523755,-0.00014303098,-0.00027079348,-0.00012483026,-0.00022601953,-0.0002735646,-0.0005204557,-0.00036570092,-0.0002952596,-8.156984e-05,0.0002311315,0.00016466728,6.79582e-05,-0.00011427081,0.00012889439,-0.00012643977,-0.0001746962,-5.5476245e-05,0.00017026451,-9.988746e-05,-0.00017778223,2.7619924e-05,-0.00019164081,-0.00011183163,-0.00030965585,-6.003525e-05,-0.00018905553,-0.4702318922163636,0.2761925603515218,0.7464244525678854,4,1,4
